gibs_channels
AIRS_L3_Clear_Sky_Outgoing_Longwave_Radiation_Daily_Day
MODIS_Terra_SurfaceReflectance_Bands143
LPRM_AMSR2_Surface_Soil_Moisture_C1_Band_Day_Daily
MODIS_Terra_L3_Land_Surface_Temp_Daily_Day_TES
VIIRS_NOAA20_SurfaceReflectance_BandsI1-I2-I1
VIIRS_NOAA20_SurfaceReflectance_BandsM11-M7-M5
VIIRS_NOAA20_SurfaceReflectance_BandsM5-M4-M3
MODIS_Terra_NDVI_8Day
MODIS_Terra_CorrectedReflectance_TrueColor
VIIRS_SNPP_CorrectedReflectance_TrueColor
